,Script,Era
48848, No radio contact. ,Classic
151588, It must have made a terrible mess of you. ,Classic
44361," He's not a cook like you, I hope? ",Classic
59760," Look, it is 1917 where we are now on this map. Where we were attacked by the Romans it is two thousand years ago. ",Classic
113544, Fantastic. ,Classic
66234," My dear young lady, if that computer was functioning, it would warn us that we all have very little time left!",Classic
68361, Then why did you insist on coming here? ,Classic
81155, It was during the Great Wallarian Exhibition. ,Classic
67386," Er, Brigadier, my dear fellow, I wonder whether I could borrow a couple of your stalwart chaps to give me a hand in bringing the Tardis back? It's landed in rather an inaccessible position. ",Classic
87842, But we made an agreement. ,Classic
120680," Erato came here fifteen years ago to propose a trading agreement. Tythonus is a planet rich in metallic ores and minerals. Am I not right, K9? ",Classic
147479, I should have guessed when we were attacked by those uniformed policemen. How'd you get onto him? ,Classic
4728," Well, perhaps, if I had to choose, a well equipped laboratory with every conceivable instrument. Yes. Yes. ",Classic
11998, Yes� ,Classic
87012," Whitaker? Whitaker, where are you? ",Classic
155147," Well, that's it, then. End of the line. ",Classic
153724," Oh Merdeen, if the Doctor's right, we're all in danger anyway. We might all die.",Classic
37104," You're right, Jamie. That's quite new. Well, it's good to see someone is using their intelligence. ",Classic
52278, Oh. Oh. ,Classic
87118, Tango one to patrol. Any luck? Over. ,Classic
146900, Doctor?  ,Classic
160643, It's all my fault. You'd have been all right if you hadn't met me. ,Classic
96239, You don't understand the implications. I'm not a human being. I walk in eternity. ,Classic
23804," Anne! Anne, you there? Anne! ",Classic
133291, Earth's on red alert. Some interstellar conference. That's why they're checking that bit more carefully. ,Classic
82765, Anything about? ,Classic
6518, She serves other gods than ours. ,Classic
29102," I don't think I've set eyes on you before in my life, man. ",Classic
61272," There's one thing I don't understand, Doctor. How are you going to get all these people back to their own time? ",Classic
106023, It is fitting to celebrate the death of an enemy. ,Classic
125320," Please, don't shout. Splendid, I'm sure. So you serve the Lords, but what do the Lords do for you? ",Classic
4719, Susan. ,Classic
89680, Goodnight. ,Classic
62507," Well, it's a highly complex piece of machinery. Naturally there are problems. ",Classic
39008," All right.   What're you going to do, sir? ",Classic
77896," I'm sorry, sir, but it's absolutely necessary. Now Sergeant Benton will keep an eye on this machine of yours until the troops arrive, but I cannot be held responsible for the consequences unless you do as I ask. ",Classic
75502," There's nothing wrong with them, sir. There's nothing wrong with any part of this boat. We've checked everything. ",Classic
164023, Shouldn't we follow them? What about Josiah? ,Classic
56642, We can now send to any city in the world? ,Classic
51398, Then he must have escaped. There's no one else on the island. ,Classic
56173," Now, we're not thieves, you know. ",Classic
88477, You betrayed me. You switched on the alarm!,Classic
138000, To show you to your room. ,Classic
145257," That is all, Krau. ",Classic
50619," Oh I'm sure the Director will approve our decision. After all, he considers the Caves of Arick ",Classic
97845, That you were sent here by the High Council of the Time Lords. ,Classic
52541," Well, how long have you been here? ",Classic
28382," Oh but my dear, I thought you were going to show me round London this morning. ",Classic
121719," Affirmative. Sensors indicate that the master is not aboard the ship, mistress. ",Classic
2210, It's too smooth. ,Classic
13406, What's the matter? ,Classic
73550, He's coming. Sir Reginald Styles is coming here. ,Classic
45320," Is it? Yes, yes, I suppose it would be, except for one thing. ",Classic
125172, They've learned to get out. ,Classic
36225, Better some damage than loss of will power. ,Classic
110779," Castellan, is the Chancellor still in his office? ",Classic
128317," If we do cooperate, there'll be no question of you ever returning to Gallifrey. ",Classic
153473," Now the Immortal is dead, how shall men live? ",Classic
99560," Hello, Beresford, this is the Doctor. I can hear you. Over. ",Classic
71089, David! ,Classic
91481, We're just going on a little trip. Would you like a jelly baby?,Classic
90480," Yes, well, I have a strange feeling that you already know most of it. You see, I found a crystal. A blue crystal.  K' ",Classic
105675, Groggy? ,Classic
162616, Sideways in time? ,Classic
65295, There's a vacancy. Doctor Lennox met with an accident at headquarters. ,Classic
152838," Doctor, look! There's something here I think you should see. ",Classic
32351, What about the girl? ,Classic
35023," Well, I was just wondering if I can help, sir. ",Classic
8627," There's another bundle over here. Hey, look at all these maps. There's a whole bunch of daggers down here. ",Classic
32930," No, we're not. They'll soon pass. ",Classic
107059, What is it? ,Classic
48767," No. No, there may be something on the other side. Here.   Here we are. ",Classic
118135," Doctor, are you all right? ",Classic
117205, But Astra said that she couldn't get a signal back from Zeos. Where do we start? ,Classic
139811, Let's get away from here. ,Classic
41789," I have been kept alive so many years, but now our time left is very, very short. Listen carefully. Perhaps you can ",Classic
144168, The Daleks have secured the self-destruct chamber. The station is safe. ,Classic
92631, That's a lie. ,Classic
16931," By taking the humans, the Mechons have forced us to take action against them. We invade. ",Classic
135614, We have trouble. A full-scale security search is in progress for the Doctor. ,Classic
58798, I can't do that. Sorry. ,Classic
160761," You talk too much, whoever you are. ",Classic
152492," I'm perfectly safe. Now listen, Peri. I want you to go back to the Tardis at once. ",Classic
31168," Doctor! Quick, help him. ",Classic
152040," It is to me. They won't torture us, will they? ",Classic
47735," That's it, Doctor. That's the creature I saw back at the Compound. ",Classic
12852," Oh, I'm so sorry, Madame. I wanted a word with Nero, but I'll come back later. He seems to be rather busy. ",Classic
85600," It's a bargain. By heavens, Linx, I never thought when I first saw you that I should come to love you as a brother. Now, show me how the iron man works! ",Classic
146045," Change, my dear. And it seems not a moment too soon. ",Classic
59142," Yes, yes, Maddie. Maddie. ",Classic
84024," All right, love. Here goes. ",Classic
89822," Well, stranger things have happened. ",Classic
69544, I'm scared. It's evil. ,Classic
129427," As indeed are you. You must be tired. Control, refreshments for our guests. ",Classic
83549, Wait! Spiridon slave workers are to report to level four immediately. Move!   Wait! You are not Spiridons! Emergency! Emergency! Emergency!   ,Classic
31043, This is hopeless. We must do as they say. ,Classic
139980, Warmer? ,Classic
55046, Never? ,Classic
76468, Adequate. Not quite what I hoped for but adequate. ,Classic
51976," Zoe? Is that you?   Redcoats. Am I back in my own time? If I am, they'll shoot me down.   Shoot me down like a dog, would you? Well, a McCrimmon's never died without a fight yet. Creag an tuire! ",Classic
119934, There was no need to go to all this trouble. All she had to do was make an appointment. ,Classic
21542, Perhaps they have only just found it. You are certain that there are no natural beings on Mira? ,Classic
113668," I can see that, but what's it for? ",Classic
66003, Shall I tell him or will you? ,Classic
153587, Excised? Why? ,Classic
39263, It's no use having a conscience now. ,Classic
104423," Oh, you wouldn't be knowing. ",Classic
72707," No! No, back! Back!   In the name of the Unspeakable One, back! Nakmia sayamat. Back!",Classic
77045, All vectors cleared. All systems green and go on countdown. Sixty seconds and counting.,Classic
145267," The survey team were charting Blue level, weren't they? Did anyone see anything? ",Classic
58715," Well, how do they work? ",Classic
118734, We function logically. ,Classic
45389, Never heard of you. Who? ,Classic
93065, I wish to see you. ,Classic
61803, In his locker. ,Classic
54798, How long before it strikes? ,Classic
4724, Thank you. Thank you. ,Classic
81372, Who are you? ,Classic
55085," Ever since, we have lived in peace with them. The Krotons never show themselves to us, but we learn from them through the teaching machines. ",Classic
84447, Up the Amazon? ,Classic
161268, Not really. Windsor Castle's a big place. ,Classic
106268, Ireland? ,Classic
55802," Well, I thought you were supposed to be the scientist? ",Classic
154001, That thing attacked us. ,Classic
21117, Where's it landing? ,Classic
137319, What? ,Classic
43735, You mean you don't know? ,Classic
32463, But that's the same thing. ,Classic
154326," Come, let us prepare you. ",Classic
43523, What will that do? ,Classic
73724, My safety? ,Classic
18550, We do not wish him dead. ,Classic
104936," No! No, they were a success! Why, I used them to escape from my enemies. The first man to travel through time. ",Classic
35738," Well, that's all right. We haven't passed any of them. ",Classic
138972, You know where the Tardis is if things get difficult. ,Classic
22207, I obey. ,Classic
151491, Brilliant! Absolutely brilliant! ,Classic
97976," No, Doctor, he's a maniac. He's got a body there. No head, oh no. It's just made out of lumps of things. ",Classic
116931, Then we're trapped. There's no way out. ,Classic
115509, Have you ever known Grendel abide by the rules of war? But who's going to open the gates? ,Classic
53274, Guards! Guards! ,Classic
93895," Goodbye, Bettan. ",Classic
88299," Oh, I'm sorry. ",Classic
136230," She's gone, apparently. ",Classic
132077, You did it. ,Classic
122325, The great pact nears it's completion! The Nimon be praised! Skonnos shall rise and conquer! ,Classic
11966," No. No, there isn't, is there? Well, there must be people or things on this planet. ",Classic
93491," Well, of course, I knew you'd try to get back into the bunker through the cave. ",Classic
93851, I'm going back to the incubator room. This time I'm going to blow it up. ,Classic
51094, Who knows? ,Classic
123472, You mean the Argolins donated cells from their bodies to this Recreation Generator and cloned themselves? There's a flaw in your story. Where are all the others? ,Classic
105473," Obviously I was wrong. The shock simply stunned him, he partly recovered, staggered out onto the rocks, fell into the sea and was drowned. You get on about your work, Vince. There's nothing supernatural going on round here. ",Classic
137470, The transmatting induced a mutative catalysis. ,Classic
71711," Yes, I've looked over it. It's not what I call brand new. ",Classic
61831," Well, is it safe to move him? ",Classic
90251," Who knows? A week, a day, an hour. ",Classic
69139, Thanks. ,Classic
33133," Whist your noise, I'm coming. ",Classic
146060, She is your mother. ,Classic
110942, That will not be necessary.   You are the first president since Rassilon to hold the Great Key. ,Classic
155662," Still not responding, Mister Doland. I've just tried. ",Classic
1693, Yes. Skaro is the twelfth planet. Here. ,Classic
30958," We have no chance. We must play for time. Be quiet. Well, sir, what have you decided? ",Classic
84356," After you, Miss Grant. ",Classic
2219, What we need for life means death for the Thals. ,Classic
155918," I got a very good copy, Keeper, just as the Doctor said was possible. ",Classic
51575, What's the Doctor trying to do? ,Classic
45833, I hope the Captain and Staff Arnold aren't anywhere near that little lot.,Classic
144447, Morocco? But you're due back at college in the fall. ,Classic
94002," Of course. It's a big plan. But it will work. You and I together, Magrik, will make it work. ",Classic
108124, The Doctor master ordered me to stay. ,Classic
69659," Yes, I know, Jo. I know. ",Classic
160492," Happy songs, Ace. Songs about sunshine and furry animals.   I woke up one morning. ",Classic
91391, What's that? ,Classic
43007, Storr! ,Classic
155640, It'd be suicide. ,Classic
142547," Sir George, do you understand me? ",Classic
154432," Then let us begin. Should the transfer not work, and brain death occur, my bearers have orders to liquefy all who fail to save my life. ",Classic
92341," This is the transport ship, and here's the conduit. We'll connect one end up here, and you'll have to drag the other end through. Do you think you can manage it? ",Classic
81556, That's right. They were helping the Dragons! They're traitors!   ,Classic
62500, Why? ,Classic
70166," Yes, sir. Not as soon as, immediately. Arrange air transport. ",Classic
116496, What? Oxygen starvation. ,Classic
97615," It's a long story. For a start, you've got a very nasty twin. ",Classic
48680," Oh, I wouldn't dream of doing that, sir. ",Classic
147506," Like you, this planet really depresses me. ",Classic
18250, Yes. ,Classic
58032," Yes, sir. LIZ seven nine is now completing the link-up. I'm standing by for orders.",Classic
135323," Look, let's go into town and I'll tell you all about it, okay? ",Classic
28173, Well now that you're here perhaps you'll talk to the gentlemen ,Classic
54247, Sir.     I think Mister Vaughn is going to have quite a scrap on his hands.,Classic
119569, Your coffee'll get cold. ,Classic
81246, Why was it delayed? ,Classic
502, I will set you free if you will go away and not make fire. Fire will bring trouble and death to the tribe. ,Classic
134421," Wake up, man! ",Classic
85758," Bother me now, little toad, and you will feel an axe in your skull. ",Classic
154208, I don't remember that. I can't recall anything after the power flooded through my brain. ,Classic
142096," Er, no. No, no, still some time distortion. ",Classic
9699," Sorry. I know I can. You should have little difficulty getting there tonight. Stay the night and return here tomorrow morning. That way you won't run into any patrols. Now, where exactly is this inn, Jules? ",Classic
75736, I'll call the steward. ,Classic
129533, Thank you. ,Classic
149225," Doctor!   Hold on, Doctor, I'm coming! ",Classic
104453, You were lucky. ,Classic
56660," No, they're still in the rocket. How many of the Ice Warriors are there? ",Classic
64425, Helicopter and smoke bombs? ,Classic
140249, And into ours. ,Classic
64996, I'll call Reegan on the phone. ,Classic
42076, Look at him. ,Classic
117949, Where are they? ,Classic
101566, Someone is with him all the time. ,Classic
14078," Yes, I think so. ",Classic
102087," Hear how it squirms for release. Hey, hi ya. Ah, it cannot deceive us. ",Classic
142174, It's a madness. ,Classic
20168," Now, of course you realise that we can build a much larger one, capable of carrying a man. ",Classic
18097, Are you sure you won't eat? ,Classic
50302," Oh yes, oh yes. Ahh! ",Classic
62145," Yes, his name's Channing. Now, he seemed to have some sort of mental hold over George, almost as if he was hypnotised. ",Classic
149200, The Tardis! ,Classic
62129," Must I? The Tardis no longer works, as you saw. ",Classic
98674, You must help yourselves. ,Classic
162675," A nuclear explosion, usually. ",Classic
163106," Yes, this site is where Arthur is supposed to have met Mordred in the final battle, and this lake, where Bedivere threw Excalibur. ",Classic
70579, All right.,Classic
162709," Oh, probably just another peace conference. Tell them I've retired. Tell them I'd decided to fade away. ",Classic
74708," Arcturus was an unattractive person, Princess ",Classic
87434," Well, count me out. ",Classic
90584, There's not a moment to lose. Come. Come.,Classic
38346, Perhaps. I think we'd better keep an eye on him. ,Classic
424, Make fire. Make fire. ,Classic
122585, No transmat pad. ,Classic
87404," Don't move, any of you! Benton. ",Classic
64457," I should be most grateful, Brigadier. Thank you, gentlemen.   All right. Won't you sit down? ",Classic
22014," It's that guy, DeMille. He's trying to sabotage me! Get those bums out of here!   Did you see those two? Wait. I want them back here. ",Classic
60826," The Security Chief is right. You have failed. And your leadership of the security forces has hardly been spectacularly successful. I will take charge of the whole situation. Now listen carefully, this is what I plan to do.",Classic
118764, Stone blunts scissors. Again. Scissors cuts paper. ,Classic
135075, Tardis? Tardis? ,Classic
38726, What could I do? They said my daughter would die. ,Classic
67229, That's excellent! Excellent! ,Classic
135025," Now, as we dematerialise, we reverse the process of the time contour and kick Concorde back onto its original flight path.   With a bit of luck. ",Classic
27629, We should kill him while we have the chance. ,Classic
4023," Where did you get this key, Doctor? ",Classic
16262," What are they going to do, Barbara? ",Classic
55576," Oh Doctor, the Tardis! ",Classic
56947, Relay report direct. ,Classic
145909," There's a mud burst coming, sir! ",Classic
134238, Doctor! ,Classic
34717, What is it? ,Classic
28634, They must not escape. ,Classic
21269, So that's our traitor. ,Classic
68044," Jo, nobody is to touch that thing until I've had the chance of examining it properly, all right? ",Classic
116216, It was brought from Delta Magna when the temple was first built. ,Classic
31923, What does this intrusion mean? ,Classic
159234, All your mercenaries are dead. ,Classic
148460," After I extract the truth about this girl and her companion, the Doctor. Come. ",Classic
35995, Listen. ,Classic
154079," Well, she just happened to be the nearest. ",Classic
52404, The white robots? ,Classic
136983, Who will know? ,Classic
157933," Well, on the two hundred and forty fifth floor Sodium Street, corridor seventy five, there's a secret emergency supply kept for pests going out of control. ",Classic
27912," You owe me your life, Exorse. I have a right to ask you. If you are against us now, you condemn us forever. ",Classic
5083, DE3 O2. ,Classic
134317, Going on is madness. ,Classic
128279, Don't you understand? Logopolis is crucial to the whole of creation. This could mean the end of the universe. ,Classic
26653, Come on. ,Classic
111760," Because they're trying to sell the map of a nonexistent mine, that's why. ",Classic
17110, How are we going to explain our absence? ,Classic
155402, What have you got there? ,Classic
28792," But how are you going to use it, Doctor? ",Classic
6378, There's to be an eclipse. And Tlotoxl will offer human blood so that the sun will shine again. ,Classic
107147, You'll get your money. Now get out. Out! ,Classic
11449, People tell all kinds of lies when they're starving. ,Classic
671, Back! Back! Go back.   ,Classic
158344," Well, they're not here. Come on. ",Classic
147088, As you wish. Although I think you're mad. ,Classic
75475," Oh, it'll work. Don't you worry about that. Just think of it, Trenchard. You will be responsible for exposing some of the most dangerous saboteurs this country has ever known. I think you'll find that a grateful government will give you anything that you ask for. ",Classic
89964, In the Tardis? ,Classic
45166,"   Never get away with it. Oh, that's good, coming from you. Or don't you realise you're dispensable, and the world is going to get along fine without you from now on. The only good idea you ever had in your life was getting rid of me, and you couldn't even do that properly, could you? And now I'm back and you're finished.   Oh, what's that? ",Classic
122307, It would be no use. ,Classic
52244, It would be easy to get lost in there. ,Classic
162334, Something went wrong? ,Classic
52588, Push. Open up. It's closing. No!,Classic
144409," Doctor, you're becoming obsessed. ",Classic
164655, Alice Faye! ,Classic
89265," Are you harmed, your Majesty? ",Classic
13849," There was a tunnel on the lower ledge where you left me. What, what happened on the plateau? ",Classic
5911, Yes. ,Classic
3955, And I promise you that no-one will ask you.,Classic
134190, Look! It's a motorway. ,Classic
119495," But Count, this machine is precisely the reverse of what we, of what I have been working on. ",Classic
148310, Nor me. ,Classic
97312," Exactly, Doctor, yes! And all brilliantly planned by Styggron, the chief scientist of the ",Classic
13355, What's the matter? ,Classic
61231, Stop! Get him off me! ,Classic
162076," Oh, thank you very much. Ace! ",Classic
64390," Under normal circumstances with two or three Earth orbits as a run up, Controller Cornish could bring them to within one hundred yards of their scheduled landing place. As it is, all we know is that the space capsule is about to land somewhere in the south of England.",Classic
65866, I've got one or two ideas. ,Classic
141867, Excellent. ,Classic
126308, What? ,Classic
790, We don't want to stay here. ,Classic
160912, Weltschmertz. ,Classic
91424, Can you switch off the electricity supply? ,Classic
164341, Control proper ladylike now. Out to dinner. Take Control meeting Queen lady. ,Classic
150102, Keep away. ,Classic
154676," Well, I know it sounds crazy, but, sometimes more than life. ",Classic
15704," Dead? Not at all, my boy. Not at all. I was merely, let me say, frozen stiff? ",Classic
92750," Ja, ja, alien. Alien, you understand? ",Classic
114145," Where you'll never be able to find her. Oh, she's perfectly safe. No need to worry, so long as you leave me in peace. ",Classic
153211, What hunt? ,Classic
37978," Oh, I'm not sure. I don't think so. ",Classic
58922, Go on! Get moving! Get after those prisoners! With any luck you'll be shot! Incompetent idiotic. Don't imagine they can get away. There's nowhere for them to go! ,Classic
74224, But it was Torbis who died. The legend only concerns my people. ,Classic
2330, Increase power. Emergency. Increase power. ,Classic
119587," But without a field interface stabiliser, you can't cross from one to the other. ",Classic
165052," You can't go back that way. Those creatures, they're, they're inhuman. ",Classic
18654," Yes, when we have destroyed the machine we will escape. ",Classic
111756," Here, the other way in. Look, marks of a grappling iron. ",Classic
123028, No. It's not for sale. ,Classic
140117," A friend, who wants to help. The Master has set up an imposter as King John of England. ",Classic
17329," Yes, we must be more popular than we thought. ",Classic
88523, Arrest him! ,Classic
127387, Huh? ,Classic
146156, At once. ,Classic
101903," You lie.  (The Doctor pushes the Master away from the Eye, and replaces one pipe. The Master tackles him, then chases him up the steps, swinging a club or something at him. At the top, the Doctor turns and pushes the Master back down the steps then returns to replace the pipes. The Master tries one more time to stop him, but gets a punch in the stomach for his efforts and goes down. The floor of the Panopticon splits, and the Master falls into the crack. He tries to pull himself out, but cannot get a grip, and finally falls, screaming. The Doctor continues to replace the pipes on the Eye. When the final one is in place, the planet stops shaking and the Doctor takes a deep breath in relief. ",Classic
30338," Visitors? What, here? Well, who do you think's bringing 'em, Father Christmas on his sledge? ",Classic
90186, Usually they eat the sheep we breed for them. They prefer human flesh.,Classic
104940," Good morning, gentlemen. ",Classic
99306," I don't care who it's killed. People are replaceable, Scorby. The Krynoid is unique. It must not be damaged in any way. That's an order. ",Classic
71980," Slight protrusion of the eyeballs, rictus drawing of the lips back over the teeth. Common enough in heart failure. ",Classic
154110," Oh, I second that. I've already seen quite enough of Sil, thank you. ",Classic
119025, What are you talking about? ,Classic
109560, Cannot all things be done? ,Classic
21268, An experimental plant a little way off from Central City. I have a friend there I think will help us. ,Classic
111944, No. ,Classic
51464," Well, Balan isn't there. ",Classic
164711, She's a mathematical specialist. She understands the logic diagrams. And they found an old translation of those Viking inscriptions. ,Classic
133890, This is your planet! ,Classic
63959,"   Doctor, that will ",Classic
1100, Not until we've found Barbara. ,Classic
163438, Gone the way of all flesh. ,Classic
109537, I don't know. ,Classic
138865, Really? Look again. ,Classic
155117, Accident? Can't you deal with it? ,Classic
113776," He surveyed the Nine Travellers, but then you probably know that already, Doctor. ",Classic
74163, Over here! Come on! ,Classic
84729," No, leave it! I shudder to think what might happen. ",Classic
101313," Now, where's the local news programme? Ah.",Classic
130973, The Mara inhabit the dark places of the inside. ,Classic
10246," Yes, all right. ",Classic
139144, You are not an Ephemeral. You are a time dweller. You travel in time. ,Classic
3295, No. ,Classic
105879," Come on, Adelaide, drink this. Come on, drink it. ",Classic
60248," Oh, I see! ",Classic
56895, Reports now received on cause of death of T-Mat reception technicians in New York and Berlin. In all cases victims died of oxygen starvation. ,Classic
62378, You have spoken to him? ,Classic
130006," Oh cripes.   No. No, leave well alone. ",Classic
126528, There's something wrong with the electrics. I'll go and check the main cables. ,Classic
14471," You do, do you? Then I suggest we get along with it. ",Classic
138226, He muttered something about the readings. ,Classic
97231, I understand. Is there a safe method of destroying the training ground? ,Classic
130720, Tails. ,Classic
53346," Oh, that's quite simple. I hate computers and refuse to be bullied by them. ",Classic
162235," Oh, I'm sorry. That shouldn't have happened. I must have fallen asleep. ",Classic
48014," Well, what? What's happened? ",Classic
127592," Oh, all sorts of things. Time energy will be displaced, energy will overflow, overload the control element. ",Classic
22303," Oh, and why not, dear boy, why not? Because I am using my brain. I'm trying to solve this problem.   Now just stand back and cover your eyes, please. ",Classic
158290," Yes. But I must try and find Delta and Billy. Do you know where they might be, Ray? ",Classic
53470," Quick, Doctor! ",Classic
5406," The representative of the court, Eyesen, has spoken his facts. You may now reply. ",Classic
146323, Well? ,Classic
116153," Well, if Thawn wants to depth charge it, he's going to get us all killed. ",Classic
147269, Merely slips of the tongue. ,Classic
77261," This is the Doctor, as I am sure you know. ",Classic
93689, Then let's finish it off. ,Classic
160574," Yeah, yeah, on Terra Alpha you don't have prisons. ",Classic
124631, What's wrong with what? ,Classic
57446, Then the Doctor must have succeeded. He must have turned off the Martian signal. ,Classic
136541, Nyssa! ,Classic
144692," Grateful as I am for the visitation of the Outsider, I wish he'd come nearer to the settlement. ",Classic
29093," Bring him here, sir? ",Classic
22800," Well, it looks like a control room. The Daleks wouldn't leave a place like this unguarded. ",Classic
43482, Whereas we would not. ,Classic
95916, Those minerals are endangering the safety of my command. They must be jettisoned. ,Classic
145414, What remains of him.   Sit down. You must be tired. ,Classic
38549, Right. ,Classic
64563," You two ride with them. They won't hurt you. You've got guns, haven't you? ",Classic
50152, That doesn't answer my question. ,Classic
110836, Small vent at the back of the neck. ,Classic
69313, Yeah. Most of them hard cases that were helping you. ,Classic
14232," Yes, I heard the sound of fighting in the wood. ",Classic
154722," I was hoping we'd seen the last of him. He's such a noisy fellow.  Oh, they've gone. Huh. Didn't even say goodbye. ",Classic
125947," Right, Now, Kalmar, you'll see I'm telling you the truth. Gather round, gentlemen. Hang on a minute, hang on a minute. It'll take a moment or two for the picture to steady. There we are. Oh, it seems to scan right through the spectrum. ",Classic
148484, I don't think so. ,Classic
29669, But he's in with the Squire. ,Classic
85866," Ah. On my oath, Linx, when I am King, you shall be my champion!",Classic
53374," I don't make idle threats, Professor, as you well know. If you want to see that girl again in one piece I suggest you do as Mister Vaughn asks. ",Classic
120609," What? An evil thing, killing. Why should it want to kill you? It didn't want to kill me, did you, old fellow? Do you know something? I believe he wants to kill you. ",Classic
26372," Okay, men. String him up. ",Classic
66179, There will be no emergency. ,Classic
72975," That you, Doctor?",Classic
12076," Sorry, Barbara, I forgot all about your cuts and bruises. ",Classic
149941," Well, perhaps they thought the ends justified the means. Isn't that always the excuse for something really bad? ",Classic
64933, The Brigadier? ,Classic
55287, Normally the names don't come through for some time. ,Classic
149780," Oh, I'm sure that's not the case. ",Classic
40469," Close it! Close it, quick! ",Classic
99197," Even so, I think I could set up my easel here to good purpose. ",Classic
79746," Oh, just some more innocent bystanders. Probably scooped up by that bungling organism of yours. Send them back, Omega. They can do you no harm. ",Classic
103496, But you don't know what he looks like. ,Classic
151691, Men? Men! ,Classic
62061," No, no, no, it's true. Well, you think that the Tardis isn't big enough, don't you? That's because you keep looking at it simply as a police box. ",Classic
56951, What's happened? Report! ,Classic
135316, Yes. ,Classic
113758, Right. ,Classic
72223, Extraordinary fellow!,Classic
117372," Well, through the transmat, I imagine. ",Classic
124996, What?,Classic
132889, You should be proud if they were. ,Classic
154729, I don't think so. ,Classic
36715, Gay and cheerful? ,Classic
116680, Then let me go to the hospital. I can't do anything here. ,Classic
78454, Right. ,Classic
76533, Who sent you? ,Classic
125985," Of course. Of course! An arrow of steel, and I've been looking at it all this time. Right, gentlemen, let's gather round and finalise our plans. Now, we need a group of your best men, a sort of commando force. ",Classic
54110," No, wait. There are Cybermen between us, remember. ",Classic
131060, Come on! ,Classic
65550," Right, get them! ",Classic
146334, Not good enough. ,Classic
14678, I seem to know that face. ,Classic
104730," When the rat took my leg, I regained consciousness in a charnel house, putrefying human remains. ",Classic
105056, Supposing I want two? ,Classic
137297," By the way, how's Sergeant Benton these days? ",Classic
704, Tell me what happened after I fought the beast in the forest. ,Classic
116948," Good. Now listen, K9. K9, we want this door open, but be careful. There may be someone on the other side. ",Classic
147556, Excellent. ,Classic
44589," Over here, quick! ",Classic
136526, What? ,Classic
162061," Now welcome folks, I mean that from the heart, because the Greatest Show is about to start. It's happening right here before your very eyes and one thing's for sure, you're in for quite a surprise. But then, nothing's quite as it seems to be at the Greatest Show in the Galaxy.   Now welcome folks, we've got a brand new act. He's a real find and no doubt that's a fact. He'll entertain you, he'll make you stare, and our great new act is seated over there! ",Classic
97720, Can you spare a glass of water? ,Classic
103886," You'd better get your tail pinned on. Linens up in five minutes. Casey, have you got the oopizootics coming on? ",Classic
136235," No, let them go. What's the point? ",Classic
155107, Going for a stroll? You just said that to put me off. ,Classic
104743," Li H'sen! Come on, man, the house. ",Classic
21157, It's there. ,Classic
89529, Oh! Right. ,Classic
47123," No, it won't touch it, I'm afraid, Jamie. Ah well, have to use this. ",Classic
8228, We will not regret having known them. ,Classic
84692, Simplicity itself. ,Classic
161782, Isn't it in your rucksack? ,Classic
110449," Naturally, naturally. Well, Castellan, the Chancellor doesn't seem too keen to help. How about you? ",Classic
70711, Doctor,Classic
93702, Shush.   Useful. Ah. This is something rather more useful. ,Classic
134700," Well, it's a little toy of the Master's. ",Classic
62125, Just testing. I wanted to see if the controls ,Classic
106160," I don't care what you call it, Doctor. I knew. I knew before that. Before you were affected. ",Classic
19315, Doctor? ,Classic
8370, I trust all Sensorites. You will be guarded safely. ,Classic
57151, There might be a way. I must talk to Commander Radnor about it. ,Classic
119900, The shell. ,Classic
51548, Oh. Eh? ,Classic
17452, The door was locked wasn't it? ,Classic
18610," Yes, child, if you wish. Come along. Hurry, hurry, hurry. ",Classic
16554," You know, I believe you're right. Yes! The Daleks can never land here! ",Classic
130059," No, you don't, do you. Look, the Urbankans are synthetic. They are not like you and me. However sophisticated their circuitry, they are still machines. With me? ",Classic
112581, Would you like some jelly babies? ,Classic
43657, Oh yeah? Well this time we caught a whale. He's here! ,Classic
86287," No, you'd better stay here. Send a dispatch rider and get them brought here as quickly as possible. ",Classic
35240," Three, 42. ",Classic
91161, It's in there. ,Classic
59154, But why? What's going on? ,Classic
131274, You must go. Goodbye. ,Classic
92337," Why can't I take that cable through? Well, I'm about that wide. ",Classic
135270, Don't count on it. ,Classic
130429, He is with the Not-we in the dome. ,Classic
49846," Hey now, have you both gone mad or what?   Don't point that thing at me, laddie.   All right. If it's a fight you're after, I'm your man. Come on.   You need a few lessons in the noble and manly arts, me bucko! All right, come on! ",Classic
164791," So, this is what brought you here. A natural source of lethal poisons. ",Classic
161859," Miles and miles. Why do you suppose he's got that noisy monstrosity polluting the countryside? Here, you're not thinking of going there, are you? ",Classic
125161, Yes. Still the manuals in the great book room will show them how to put it all together again. ,Classic
103873," Last week. Levitated her, you did. She's not been the same since. It's done something to her reason, I shouldn't wonder. And she was here last night. ",Classic
90130, Shush! Keep your voice down if you must speak treason. ,Classic
41074, Seize them. ,Classic
87159," Hmm. Well, I think your story needs investigating. Have you told anyone? ",Classic
13577," Don't worry, Vicki. The Doctor's got something up his sleeve. ",Classic
130930, We must help him. ,Classic
43730, Right. ,Classic
130551, Watches. ,Classic
15986, What? ,Classic
158210, How appropriate. ,Classic
16975," Yes, it sounds rather risky. ",Classic
11044," Yes, precisely. Now we've created a force field. Right, now turn the pole round. Give him a hand, quickly. Come on.   Come on. ",Classic
111179," I believe I can, sir. ",Classic
