"","Character","Script","Script_lemm"
"26912","DOCTOR1"," Yes, it's just as I thought. Yes. Yes, well I think my young friends are in for quite a surprise. ","yes thought yes yes well think young friend quite surprise"
"26914","DOCTOR1"," Oh, dear me, what was that now? Well, I shan't be long anyway.  (Annoyed at the disturbance, the Doctor continues with his scans, oblivious to the potential threat of the watching men. ","dear well long anyway annoyed disturbance doctor continue scan oblivious potential threat watch men"
"26925","DOCTOR1"," That ridiculous young man. He thought I'd made a mistake. ","ridiculous young man think make mistake"
"26932","DOCTOR1"," Hello, there. I say, come out from underneath there. Now don't be alarmed. Come along now. ","hello say come underneath alarm come along"
"26934","DOCTOR1"," Can you hear me? Oh, I say, do come out from underneath there, will you?   Oh, good gracious me. You know, I thought for one moment you were hiding behind those bushes. ","hear say come underneath good gracious know think one moment hide behind bush"
"26937","DOCTOR1"," Oh, yes, I see. Well, I am expected. Do you know who I am? ","yes see well expect know"
"26941","DOCTOR1"," I see. And how would you expect me here and now? ","see would expect"
"26943","DOCTOR1"," I see. Yes, well, that's very clever of them. ","see yes well clever"
"26945","DOCTOR1"," Oh yes, they're quite right, yes, I never do. No, this is my RV, you see. This is my Reacting Vibrator. I'm able to do my calculations from this. As I told my young friends ","yes quite right yes never see react vibrator able calculation tell young friend"
"26947","DOCTOR1"," Good gracious, no. Did you expect me to be? ","good gracious expect"
"26949","DOCTOR1"," Oh, they're very pleasant. Yes, they're both very pleasant apart from their juvenile exuberances. I'm sure you'll like them. They must be at the back here somewhere. I think they're rather worried because I'm a bit late joining them. ","pleasant yes pleasant apart juvenile exuberance sure like must back somewhere think rather worried bit late joining"
"26953","DOCTOR1"," Oh yes, of course, yes, yes, yes, I shall come with you. In the meantime, young man, I wonder if you'd mind trying to find my young people for me. Steven and Dodo. Tell them the Doctor sent you. ","yes course yes yes yes shall come meantime young man wonder mind try find young people steven dodo tell doctor sent"
"26977","DOCTOR1"," Well, that's very kind of you to make me feel so welcome. ","well kind make feel welcome"
"26979","DOCTOR1"," Well, my dear sir, that's very good of you. Yes, yes, very good of you indeed. Yes, I don't remember being so highly honoured before like this anywhere I've been. ","well dear sir good yes yes good indeed yes remember highly honour like anywhere"
"26981","DOCTOR1"," Oh, come, come, my dear sir. I know that you've been very responsible for vast scientific research. And at the same time, I always knew a race existed of great intelligence in this segment of the universe. ","come come dear sir know responsible vast scientific research time always know race exist great intelligence segment universe"
"26983","DOCTOR1"," You have, you have. Indeed, you have. And if I may so say, thank you dear ladies for making me appear so grand. ","indeed may say thank dear lady make appear grand"
"26986","DOCTOR1"," Ah, there you are, both of you. Well, I don't think I was so far wrong, my boy. What do I look like, my dear? ","well think far wrong boy look like dear"
"26988","DOCTOR1"," Yes. With what, my dear? ","yes dear"
"26993","DOCTOR1"," Yes, and I was right. They are very highly developed civilised minds. ","yes right highly develop civilise mind"
"26999","DOCTOR1"," Oh yes, thank you. ","yes thank"
"27001","DOCTOR1"," An excellent idea, sir. Well, my boy, now perhaps you'll believe me next time I tell you I know precisely where I am. ","excellent idea sir well boy perhaps believe next time tell know precisely"
"27030","DOCTOR1"," Well, gentlemen, I can't just sit here in all these grand clothes without asking a few questions. After all, there's my reputation to think about. ","well gentleman sit grand clothes without ask question reputation think"
"27032","DOCTOR1"," Well, if I accept your gifts, I must endorse your life. But I can't do that without knowing something about you. ","well accept gift must endorse life without know something"
"27034","DOCTOR1"," Yes, I know very well that you are far advanced than most planets. But how you achieve this, I know not. And let's face it gentlemen, you are much advanced. Now, I would like to know how.","yes know well far advanced planet achieve know let face gentleman much advance would like know"
"27043","DOCTOR1"," Oh, yes, it's quite obvious to the meanest intellect that, well, how can I say, that you've found a much more effective source of energy. ","yes quite obvious mean intellect well say find much effective source energy"
"27047","DOCTOR1"," To a member of your community. ","member community"
"27049","DOCTOR1"," Yes. Of course, you need a very high form of life to make this source effective. ","yes course need high form life make source effective"
"27129","DOCTOR1"," My dear Steven, you must not come bursting into the room like this. Well? ","dear steven must come bursting room like well"
"27131","DOCTOR1"," Gone? What do you mean, gone? ","go mean go"
"27136","DOCTOR1"," Well, I really don't know what all this fuss is about. I'm sure the child won't come to any harm while she here. ","well really know fuss sure child come harm"
"27138","DOCTOR1"," If I know that young lady, she's well enough to look after herself. Now, come along, please let's finish the conversation. ","know young lady well enough look come along please let finish conversation"
"27140","DOCTOR1"," Tut, tut, tut.","tut tut tut"
"27239","DOCTOR1"," A very interesting discussion, gentlemen. Yes, I must say.   Oh, so there you are, my dear. You know you had that young man in quite a state. ","interesting discussion gentleman yes must say dear know young man quite state"
"27241","DOCTOR1"," Not for the moment, my dear. ","moment dear"
"27243","DOCTOR1"," Do you my boy? Well, I'm afraid I can't just now. I've had a very interesting discussion with these gentlemen. You know, I have some documents which I think that you might be interested to see. They're records of my investigations into time travel. You might find them rather surprising. ","boy well afraid interesting discussion gentleman know document think might interested see record investigation time travel might find rather surprising"
"27245","DOCTOR1"," Yes, just for the moment. But I won't be long. ","yes moment long"
"27247","DOCTOR1"," Oh, splendid, my boy. Thank you. I need someone to help me carry a few things. ","splendid boy thank need someone help carry thing"
"27249","DOCTOR1"," No, no, thank you, that won't be necessary. Thank you, indeed. Well, come along, my dear. We don't want to lose you again, do we?","thank necessary thank indeed well come along dear want lose"
"27257","DOCTOR1"," Ah, now. Wait a minute, let me see, where are we? ","wait minute let see"
"27259","DOCTOR1"," Because I didn't want those gentlemen to overhear what you were saying, child. ","want gentleman overhear say child"
"27265","DOCTOR1"," Nothing really, but I sense that things aren't all together right here. Now I think we go this way, isn't it? Come along. ","nothing really sense thing together right think way come along"
"27270","DOCTOR1"," Really? But he's not moving. Yes, yes, let's take a look. Hold that. Here. ","really move yes yes let take look hold"
"27272","DOCTOR1"," Was he in this condition when you met him before? ","condition meet"
"27274","DOCTOR1"," Did he come out of that laboratory? ","come laboratory"
"27276","DOCTOR1"," Yes, yes, yes, I think I do, yes. It's just as I feared. ","yes yes yes think yes fear"
"27278","DOCTOR1"," Yes, their wonderful civilisation is based on this. They've discovered a way of extracting life's force from human beings, and absorbing it into themselves, leaving the victim, as you see, almost dead. ","yes wonderful civilisation base discovered way extract life force human being absorb leave victim see almost dead"
"27280","DOCTOR1"," Here's the key to the Tardis, my boy. Now I want you to go to the emergency cabinet and you will see a container with capsules marked D403. Bring it back here as soon as you can. I think we might be able to do something for the poor man. ","key tardis boy want emergency cabinet see container capsule mark d403 bring back soon think might able something poor man"
"27282","DOCTOR1"," Meanwhile, take that, I don't want it anymore.   Now, now, now, now you just rest there, there's a good fellow. We'll have you as right as rain in five minutes. Now I just want you to breathe in and out. Gently. One, two. One ","meanwhile take want anymore rest good fellow right rain five minute want breathe gently one two one"
"27286","DOCTOR1"," What are you doing, fellow? Leave the man alone. He'll probably die. ","fellow leave man alone probably die"
"27288","DOCTOR1"," I insist that you leave him alone! ","insist leave alone"
"27290","DOCTOR1"," I think I understand only too well. ","think understand well"
"27294","DOCTOR1"," They are men. Human beings, like you and me. Although it appears at the moment that you're behaving in a rather sub-human fashion. ","men human being like although appear moment behave rather sub human fashion"
"27296","DOCTOR1"," I forbid you to touch him! ","forbid touch"
"27298","DOCTOR1"," I am looking after this wretched fellow. ","look wretched fellow"
"27300","DOCTOR1"," I have already told you I'm busy. I'm going to take care of this poor man. ","already tell busy go take care poor man"
"27364","DOCTOR1"," So your rewards are only for the people that agree with you? ","reward people agree"
"27366","DOCTOR1"," Oppose you? Indeed I am going to oppose you, just in the same way that I oppose the Daleks or any other menace to common humanity. ","oppose indeed go oppose way oppose daleks menace common humanity"
"27368","DOCTOR1"," Human progress, sir? How dare you call your treatment of these people progress! ","human progress sir dare call treatment people progress"
"27370","DOCTOR1"," I fail to see the difference. ","fail see difference"
"27372","DOCTOR1"," Exploitation indeed! This, sir, is protracted murder! ","exploitation indeed sir protract murder"
"27374","DOCTOR1"," The sacrifice of even one soul is far too great! You must put an end to this inhuman practice. ","sacrifice even one soul far great must put end inhuman practice"
"27390","DOCTOR1"," So this is the place where you carry out your foul experiments.","place carry foul experiment"
"27398","DOCTOR1"," Oh, yes, yes, interested, yes. Although I disapprove of your activities. ","yes yes interested yes although disapprove activity"
"27400","DOCTOR1"," No, gentlemen, no, gentlemen. I don't wish to bear witness. ","gentleman gentleman wish bear witness"
"27402","DOCTOR1"," I should hope not, my boy. ","hope boy"
"27409","DOCTOR1"," I think you have forgotten one thing, gentlemen. ","think forget one thing gentleman"
"27411","DOCTOR1"," My feelings in this matter! I will not submit to your nauseating experiments! I am going out of that door, so don't try to stop me. ","feeling matter submit nauseate experiment go door try stop"
"27413","DOCTOR1"," Let me pass. ","let pas"
"27833","DOCTOR1"," You must not harm Jano. ","must harm jano"
"27835","DOCTOR1"," Please carry out my instructions, and do not harm Jano. ","please carry instruction harm jano"
"27841","DOCTOR1"," Yes, I think so, my dear. I must have fallen into some kind of a coma. It was as though, as though all my powers were being sapped. ","yes think dear must fall kind coma though though power sap"
"27846","DOCTOR1"," No. No, my dear, no, no, we can't leave yet. No, we've got a lot of work to do. ","dear leave yet get lot work"
"27848","DOCTOR1"," Yes, yes, I don't intend to leave these people in this oppressed state. ","yes yes intend leave people oppress state"
"27850","DOCTOR1"," Yes, you're probably right, my boy. I shan't even try. ","yes probably right boy even try"
"27852","DOCTOR1"," I am going to destroy the power that they hold over you. ","go destroy power hold"
"27854","DOCTOR1"," Yes, precisely. ","yes precisely"
"27856","DOCTOR1"," All we need is one friend from the other side. ","need one friend side"
"27858","DOCTOR1"," I think we have him already, my dear.","think already dear"
"27868","DOCTOR1"," Yes, I think you will find they've left one behind. ","yes think find left one behind"
"27870","DOCTOR1"," Yes, well, there's no need to, my boy. ","yes well need boy"
"27872","DOCTOR1"," That is correct. We'll wait until it's dark, and then I think we shall have a visitor.","correct wait dark think shall visitor"
"27880","DOCTOR1"," There's no need for that, my boy. ","need boy"
"27882","DOCTOR1"," Shush, shush, shush, shush. ","shush shush shush shush"
"27885","DOCTOR1"," Yes, I am here, Jano. We were expecting you.   Tell your people they are quite safe, Chal. Jano comes as a friend. ","yes jano expect tell people quite safe chal jano come friend"
"27888","DOCTOR1"," Oh, my dear Jano, it wasn't difficult. I knew you were to undergo the in-transference yourself. ","dear jano difficult know undergo transference"
"27890","DOCTOR1"," Yes, an unknown experiment. And you're not the type of man to allow others to take risks. ","yes unknown experiment type man allow others take risk"
"27892","DOCTOR1"," It's all very simple. You wanted my intellect. You got it, and along with it, you received a little conscience. ","simple want intellect get along receive little conscience"
"27894","DOCTOR1"," Yes, yes. You see, Jano is now saddled with the sense of right and wrong, which makes him an explosive element in a civilisation such as his. ","yes yes see jano saddle sense right wrong make explosive element civilisation"
"27901","DOCTOR1"," Jano has another plan. ","jano another plan"
"27903","DOCTOR1"," I think it's like mine. ","think like mine"
"27907","DOCTOR1"," We must take that chance. ","must take chance"
"27955","DOCTOR1"," You know, my dear, there's something very satisfying in destroying something that's evil, don't you think? ","know dear something satisfy destroy something evil think"
"27967","DOCTOR1"," Jano, since you have destroyed the power you held over Chal and his people, you realise now of course, you've got to learn to live together. ","jano since destroyed power hold chal people realise course get learn live together"
"27969","DOCTOR1"," I see. But in my case I'm afraid that is utterly impossible. ","see case afraid utterly impossible"
"27974","DOCTOR1"," A great honour, dear boy. ","great honour dear boy"
"27976","DOCTOR1"," Just think of the challenge to be able to set up the people of this planet for a new life. You're quite ready for this task. ","think challenge able set people planet new life quite ready task"
"27978","DOCTOR1"," Yes, I do. And you're the only man who can, my boy. ","yes man boy"
"27989","DOCTOR1"," Thank you, Jano. And if ever you need the benefit of my wisdom again, I trust and hope you will allow me to express myself with my own free will, rather than place me in an oven, and try and cook it out of me. ","thank jano ever need benefit wisdom trust hope allow express free rather place oven try cook"
"27991","DOCTOR1"," Well, I must say, young man, I'm very proud of you. ","well must say young man proud"
"27993","DOCTOR1"," I know, I know, my boy. Well, go on, you mustn't keep them waiting. ","know know boy well keep wait"
"27995","DOCTOR1"," Goodbye, Steven, and good luck. ","goodbye steven good luck"
"27997","DOCTOR1"," Well, who knows, my dear. In this strange complex of time and space, anything can happen. Come along, little one. We must go. We mustn't look back.  ","well know dear strange complex time space anything happen come along little one must look back"
"27998","DOCTOR1"," Well, I suppose you know where you are, my dear. ","well suppose know dear"
"28000","DOCTOR1"," Oh, when you've seen the ages that I've see, you won't use that term quite so freely. Anyway, I don't think it's been all that long. ","see age see use term quite freely anyway think long"
"28002","DOCTOR1"," Oh, well, you see, the problem is, coming back to the twentieth century, my dear, the Tardis, I'm afraid, is often mistaken for the real police box. ","well see problem come back twentieth century dear tardis afraid often mistaken real police box"
"28004","DOCTOR1"," Yes, and fortunately he can't get in. ","yes fortunately get"
"28008","DOCTOR1"," Isn't that interesting. Very interesting. ","interest interesting"
"28010","DOCTOR1"," You know there's something alien about that tower. I can sense it. ","know something alien tower sense"
"28012","DOCTOR1"," I can feel it's got something sort of powerful. It's. Look at my skin. Look at that. I've got that pricking sensation again, the same. Just as I had when I saw the Daleks, those Daleks were near. ","feel get something sort powerful look skin look get prick sensation saw daleks daleks near"
"28014","DOCTOR1"," Oh, er, yes, of course, you, er, you didn't meet them, did you, child? No. No, and I pray that you never will. I really must investigate it. ","yes course meet child pray never really must investigate"
"28022","DOCTOR1"," Well, hardly a specialist, sir, but I dabble, yes, I dabble. Oh, so that's what it is. ","well hardly specialist sir dabble yes dabble"
"28024","DOCTOR1"," Yes, you know I had a very strong sense of energy outside this building, a sort of magnetic pull if you like. It was most unusual, so I presume that's what it must have been. ","yes know strong sense energy outside build sort magnetic pull like unusual presume must"
"28031","DOCTOR1"," Oh, ah, my secretary, Dodo Chaplet. ","secretary dodo chaplet"
"28035","DOCTOR1"," Oh, tonight, sir? ","tonight sir"
"28037","DOCTOR1"," Oh yes, yes, yes, yes, of course, my dear fellow, yes, eh Dodo?","yes yes yes yes course dear fellow yes dodo"
"28045","DOCTOR1"," Oh, yes, yes, quite so. ","yes yes quite"
"28049","DOCTOR1"," Are you seriously telling me, sir, that you have invented a machine that can think? ","seriously tell sir invent machine think"
"28051","DOCTOR1"," And never makes mistakes? ","never make mistake"
"28053","DOCTOR1"," I take it that I speak into here. ","take speak"
"28055","DOCTOR1"," Er, what is the square route of 17422? ","square route 17422"
"28057","DOCTOR1"," One moment please. 131 point 993. Yes, that's near enough. Yes, it's truly remarkable. ","one moment please 131 point 993 yes near enough yes truly remarkable"
"28061","DOCTOR1"," Well, what did it say my dear? ","well say dear"
"28063","DOCTOR1"," Good heavens! Let me see. Well now, how would it know that? ","good heaven let see well would know"
"28067","DOCTOR1"," What's the matter my dear, are you All right? ","matter dear right"
"28069","DOCTOR1"," Oh. Just sit down a moment.   Now tell me, sir, now tell me, what part does this play? ","sit moment tell sir tell part play"
"28071","DOCTOR1"," I see. And that of course is the programme regimentator? ","see course programme regimentator"
"28073","DOCTOR1"," Yes, I wonder ","yes wonder"
"28189","DOCTOR1"," Yes, I am, Sir Charles. ","yes sir charles"
"28191","DOCTOR1"," Yes, very odd, very odd indeed. Perhaps he's overworking. Who was that little man, Krimpton? ","yes odd odd indeed perhaps overwork little man krimpton"
"28193","DOCTOR1"," I wonder. I wonder.","wonder wonder"
"28237","DOCTOR1"," Ah, I thought I'd find you both here. Well I hope Dodo and yourself have enjoyed yourselves. ","think find well hope dodo enjoy"
"28240","DOCTOR1"," Fab gear. Who is your friend? ","fab gear friend"
"28242","DOCTOR1"," Ah, yes, how do you do, my boy. ","yes boy"
"28244","DOCTOR1"," I don't see Dodo about. ","see dodo"
"28246","DOCTOR1"," She's gone? Gone where, child? ","go go child"
"28264","DOCTOR1"," Yes, a good idea. Thank you, that's very kind. ","yes good idea thank kind"
"28268","DOCTOR1"," Oh, Chaplet, Dodo Chaplet. ","chaplet dodo chaplet"
"28275","DOCTOR1"," Oh, my dear child. ","dear child"
"28280","DOCTOR1"," Yes, we've been extremely worried about you. ","yes extremely worry"
"28282","DOCTOR1"," Indeed, you were. You didn't tell me about your friends. And how did they know that you might be here? ","indeed tell friend know might"
"28284","DOCTOR1"," Well, I sincerely hope so. And by the way, my child, Sir Charles Summer and his family have asked us to pay a visit. So if you'll excuse us, I think we'd better be off. ","well sincerely hope way child sir charles summer family ask pay visit excuse think good"
"28286","DOCTOR1"," Yes, I suppose isn't too late to get a cab, is it? ","yes suppose late get cab"
"28288","DOCTOR1"," Oh, yes, yes, yes, I suppose so.","yes yes yes suppose"
"28291","DOCTOR1"," Er, yes, goodnight my dear. Goodnight, young lady, goodnight. ","yes goodnight dear goodnight young lady goodnight"
"28296","DOCTOR1"," Well, that's very helpful of him, I thought. ","well helpful thought"
"28298","DOCTOR1"," But, are you sure, my dear? ","sure dear"
"28302","DOCTOR1"," Oh, very well, my dear. ","well dear"
"28306","DOCTOR1"," Oh, yes, good boy, good boy. ","yes good boy good boy"
"28314","DOCTOR1"," Oh, come along, my man. We're in a hurry. Come along. ","come along man hurry come along"
"28319","DOCTOR1"," Eh? Oh, yes, yes. Here. Now look, give him that, my dear. ","yes yes look give dear"
"28321","DOCTOR1"," Come along. Come along, Dodo. All right, off you go, off you go, off you go. ","come along come along dodo right"
"28329","DOCTOR1"," Goodbye young man, goodbye. ","goodbye young man goodbye"
"28348","DOCTOR1"," Good gracious! ","good gracious"
"28350","DOCTOR1"," Well, just take a look at this, Sir Charles. ","well take look sir charles"
"28352","DOCTOR1"," Yes. Three o'clock. That must have been after we left him! ","yes three clock must leave"
"28354","DOCTOR1"," No, we met last night, or rather, early this morning. We used his taxi which he left in Covent Garden. ","meet last night rather early morning use taxi leave covent garden"
"28356","DOCTOR1"," Oh, yes, it is possible, of course. ","yes possible course"
"28358","DOCTOR1"," Oh, I don't know, Sir Charles, I don't know. ","know sir charles know"
"28362","DOCTOR1"," Oh yes, I see, yes. There's no reason given at all, is there? ","yes see yes reason give"
"28364","DOCTOR1"," Yes, I wonder, Sir Charles, do you suppose, er? No, I don't suppose you would. ","yes wonder sir charles suppose suppose would"
"28368","DOCTOR1"," Morning, morning. ","morning morning"
"28376","DOCTOR1"," Oh, there she is, child. Perhaps you'd better ask her yourself?","child perhaps well ask"
"28381","DOCTOR1"," No, child, no. You're right on time. Well, I'm sorry, Sir Charles, I can't help you with your problem, but I'm afraid I'm rather out of touch. ","child right time well sorry sir charles help problem afraid rather touch"
"28384","DOCTOR1"," Oh but my dear, I thought you were going to show me round London this morning. ","dear think go show round london morning"
"28386","DOCTOR1"," Oh, that's very nice of you. Yes, very understanding. ","nice yes understand"
"28388","DOCTOR1"," Ah, I think perhaps I'd better phone his office first. ","think perhaps well phone office first"
"28390","DOCTOR1"," Do you mind if I use the phone? ","mind use phone"
"28392","DOCTOR1"," Thank you.   Yes, yes, I want to speak to Professor Brett. Yes, he's at the General Post Office tower. That's right, yes.","thank yes yes want speak professor brett yes general post office tower right yes"
"28405","DOCTOR1"," Oh, what are you talking about, child? ","talk child"
"28407","DOCTOR1"," What were you saying, my dear? ","say dear"
"28409","DOCTOR1"," Yes, yes, I think I remember, I was speaking to Professor Brett and all of a sudden there seemed to be an explosion. It very nearly knocked me off my feet. It was as if, as if ","yes yes think remember speaking professor brett sudden seem explosion nearly knock foot"
"28411","DOCTOR1"," It was if something enormous and terrific was trying to absorb me. Yes, yes, yes. Oh, it's ridiculous, child, isn't it? Yes, yes, yes, there's something erratically wrong with that telephone, yes. It was just like an electric shock. ","something enormous terrific try absorb yes yes yes ridiculous child yes yes yes something erratically wrong telephone yes like electric shock"
"28416","DOCTOR1"," Yes, yes, thank you. ","yes yes thank"
"28418","DOCTOR1"," That's it. Either that telephone is dangerously out of order, or ","either telephone dangerously order"
"28420","DOCTOR1"," Stay where you are, my dear. ","stay dear"
"28422","DOCTOR1"," There's a new and deadly danger facing us. Yes, and it's coming from Professor Brett's office. ","new deadly danger face yes come professor brett office"
"28424","DOCTOR1"," None of us do. Yet. Come here, my dear. Look at me. Yes, it's just as I thought. She's been hypnotised. Sit in that chair, my dear.   Now, I want you to repeat after me. My name is Dodo Chaplet. ","none yet come dear look yes think hypnotise sit chair dear want repeat name dodo chaplet"
"28426","DOCTOR1"," I resist all attempts to change me into somebody else. ","resist attempt change somebody else"
"28428","DOCTOR1"," Now, I'm going to start counting. And when I've counted up to five, you will be fast asleep. And when you wake again, you will forget all about this distressing incident. Now I'm going to start counting. Just look at that ring on my hand.   One. Two. Three. Four. Five. Yes, I think she'll sleep for forty eight hours, and when she wakes I want absolute peace and quiet for her. Do you understand? ","go start counting count five fast asleep wake forget distress incident go start count look ring hand one two three four five yes think sleep forty eight hour wake want absolute peace quiet understand"
"28430","DOCTOR1"," Oh yes, she's all right. ","yes right"
"28433","DOCTOR1"," Yes, it's a very fine thing. Yes, and take care of her, won't you. ","yes fine thing yes take care"
"28435","DOCTOR1"," I don't know. She said something about strategic points in London. ","know say something strategic point london"
"28447","DOCTOR1"," Oh, Ben. How did you know I was here? ","ben know"
"28449","DOCTOR1"," Didn't she keep that appointment? ","keep appointment"
"28451","DOCTOR1"," Oh, dear me, it's just as I feared. ","dear fear"
"28453","DOCTOR1"," Oh, she's a little under the weather and she's gone into the country for a few days. ","little weather go country day"
"28455","DOCTOR1"," Oh she'll be quite all right, yes, really. I'm rather worried about Polly. She appears to be missing, that child. ","quite right yes really rather worry polly appear miss child"
"28457","DOCTOR1"," No, I think it's far more serious than that. That tramp in the paper. Did you see it? ","think far serious tramp paper see"
"28459","DOCTOR1"," Well, I'm not so sure that it does, my boy. That's why I want to solicit your help in this matter. I think, er, I don't think you will arouse so much suspicion as the police might. ","well sure boy want solicit help matter think think arouse much suspicion police might"
"28461","DOCTOR1"," Well, I want you to investigate in and around that neighbourhood where we were last night in that club. ","well want investigate around neighbourhood last night club"
"28463","DOCTOR1"," Yes, and be careful, my boy. This might be dangerous. ","yes careful boy might dangerous"
"28496","DOCTOR1"," Oh dear, dear, dear, dear, dear. ","dear dear dear dear dear"
"28498","DOCTOR1"," Oh yes, that boy, that boy should be back here ages ago. ","yes boy boy back age ago"
"28500","DOCTOR1"," Well, he seemed quite a responsible young lad. I suppose if he hasn't phoned it's because he hasn't been, er, well, he has not been able to. ","well seem quite responsible young lad suppose phone well able"
"28502","DOCTOR1"," No Sir Charles. I don't think we should allow the police to intervene at the moment. Otherwise we might drive this threat further underground or wherever it is. ","sir charles think allow police intervene moment otherwise might drive threat underground wherever"
"28504","DOCTOR1"," Well, unless I'm very much mistaken we're going to have a lot more than rumour to contend with. Oh, dear me, where is that boy? ","well unless much mistaken go lot rumour contend dear boy"
"28546","DOCTOR1"," Well, I can't wait any longer. I must take a look for myself. ","well wait longer must take look"
"28548","DOCTOR1"," After what happened to Dodo, my dear sir, we should never have let those youngsters out of our sight.   That might be Ben now. ","happen dodo dear sir never let youngster sight might ben"
"28550","DOCTOR1"," Ah, come in my dear. Good heavens.   My dear boy. What's happened to you, lad? ","come dear good heaven dear boy happen lad"
"28553","DOCTOR1"," Now, take your time, take your time. Now, where's Polly? ","take time take time polly"
"28555","DOCTOR1"," What do you mean, they've got her? Where is she? ","mean get"
"28571","DOCTOR1"," Well, I'm afraid I do. ","well afraid"
"28573","DOCTOR1"," Yes, I had suspected something of that sort. ","yes suspect something sort"
"28575","DOCTOR1"," Oh, my dear Sir Charles! How could you know that? ","dear sir charles could know"
"28578","DOCTOR1"," We are not wasting time, my dear boy. We need Sir Charles' authority, his help. Without this we can do nothing. ","waste time dear boy need sir charles authority help without nothing"
"28583","DOCTOR1"," I am quite prepared to accept the truth of this boy's statement. ","quite prepared accept truth boy statement"
"28585","DOCTOR1"," No, Sir Charles. I think the police might find it too big for them to handle at the moment. ","sir charles think police might find big handle moment"
"28588","DOCTOR1"," And you say that they were obeying this machine? ","say obey machine"
"28595","DOCTOR1"," I'm afraid we've got all our priorities mixed up. They might be able to destroy this machine, but in all probability there are others waiting to attack us. ","afraid get priority mixed might able destroy machine probability others wait attack"
"28597","DOCTOR1"," Exactly. And we don't know their location. And I doubt very much if we can find them all by tomorrow noon. No, I think we should strike at what I believe to be the centre of this menace. WOTAN. ","exactly know location doubt much find tomorrow noon think strike believe centre menace wotan"
"28602","DOCTOR1"," Well, I fear we've riled him, my boy. You see, the official mind can only take in so much at a time. However, we must keep our weather eyes open. Come along.","well fear rile boy see official mind take much time however must keep weather eye open come along"
"28632","DOCTOR1"," What is happening, Sir Charles? ","happen sir charles"
"28663","DOCTOR1"," Wait, my boy.  (WM3 goes past the Doctor then turns it's back on the army and just sits there.","wait boy wm3 go past doctor turn back army sits"
"28667","DOCTOR1"," It's remarkable, truly remarkable! ","remarkable truly remarkable"
"28671","DOCTOR1"," Oh yes, this is all very simple. This is a computer, and this computer hasn't been completely programmed. ","yes simple computer computer completely program"
"28674","DOCTOR1"," Exactly, and my guess is this was put into action before it was ready, sir. ","exactly guess put action ready sir"
"28676","DOCTOR1"," Well, I hope that we're just as lucky next time, gentlemen. Let me have that screwdriver, young man. ","well hope lucky next time gentleman let screwdriver young man"
"28681","DOCTOR1"," Oh don't worry, my boy. She'll be back. ","worry boy back"
"28683","DOCTOR1"," My dear young man, I haven't the time to discuss Polly at the moment. If I'm going to analyse this mechanism I've got a great deal to do. Now. oh dear, I'm so hot. Wait a minute, let me take this cloak off. Here. Now hold onto that and don't drag it on the floor, there's a good boy. ","dear young man time discuss polly moment go analyse mechanism get great deal dear hot wait minute let take cloak hold onto drag floor good boy"
"28685","DOCTOR1"," Well, yes, I think I've managed to decode the programme mechanism. And if I'm right, I think there are eleven others in London, perhaps in an area of twenty to thirty miles. And this has it's own timing device, this computer. And I think if my calculations are right, then we conclude that they were intended to attack at twelve o'clock today. ","well yes think manage decode programme mechanism right think eleven others london perhaps area twenty thirty mile time device computer think calculation right conclude intend attack twelve clock today"
"28697","DOCTOR1"," Just a moment, sir, please. Major Green? ","moment sir please major green"
"28699","DOCTOR1"," Yes, of course. Do you remember me, Major Green? ","yes course remember major green"
"28705","DOCTOR1"," Yes, I think you'll have to have him removed, gentlemen. He may need medical attention. ","yes think remove gentleman may need medical attention"
"28712","DOCTOR1"," Oh, of course he is. He remembers nothing since he was taken over by Brett's computer system. ","course remembers nothing since take brett computer system"
"28716","DOCTOR1"," What do you intend to do there, sir? ","intend sir"
"28718","DOCTOR1"," That is very dangerous, Sir Charles. And if I may say so, your strong arm methods have already got us into plenty of trouble. ","dangerous sir charles may say strong arm method already get plenty trouble"
"28726","DOCTOR1"," My dear boy, if we worry about one person we shall never solve anything, shall we? ","dear boy worry one person shall never solve anything shall"
"28732","DOCTOR1"," Somehow we've got to get a hold of that machine. ","somehow get get hold machine"
"28734","DOCTOR1"," Yes, and I think our only one chance is to paralyse the nervous system of that mechanism. Yes, and if I remember rightly, it will be electromagnetically controlled. Yes, in other words, gentlemen, we've got to capture it! ","yes think one chance paralyse nervous system mechanism yes remember rightly electromagnetically control yes word gentleman get capture"
"28742","DOCTOR1"," I shall need equipment, Sir Charles. Sufficient equipment to set up a powerful magnetic field and it must operate effectively within say twenty feet. ","shall need equipment sir charles sufficient equipment set powerful magnetic field must operate effectively within say twenty foot"
"28744","DOCTOR1"," Well, I'm afraid that we have no choice, gentlemen. ","well afraid choice gentleman"
"28748","DOCTOR1"," Well now, where was it reported last? ","well report last"
"28751","DOCTOR1"," Now just a moment, Sir Charles. Now look. If you close that road there, this and this, then we can funnel it into here, and there, gentlemen, we can spring our trap! ","moment sir charles look close road funnel gentleman spring trap"
"28754","DOCTOR1"," Oh well, allow me to illustrate, Sir Charles. Now, to set up a magnetic field I want a four square box formed by four cables. ","well allow illustrate sir charles set magnetic field want four square box form four cable"
"28756","DOCTOR1"," Well exactly! Therefore, we must prepare these three first and then, when the machine has approached and appeared in that position we connect the fourth cable and switch on. ","well exactly therefore must prepare three first machine approach appeared position connect fourth cable switch"
